学校名,学年,出願期間,試験日,試験実施期間,発表日,入試科目,面接,募集人員,URL,ページタイトル,所在地,連絡先,詳細,入試科目等,出願期間等
跡見学園中学校,"新2,3年",2/25～2/28,3/15,,3/17,英・数・国※英検3級以上、その他これと同等以上の資格取得の者は英語の試験を免除,受・保,若干名,https://www.jolnet.com/transfer/10449/,2025年3月実施　中学転・編入試験要項　跡見学園中学校,東京都文京区,03-3941-9548,ホームページ・詳細はこちら,,
啓明学園高等学校,"1,2,3年",7/22～8/5,OL型：8/22来校型：8/23,,8/23,OL型 　 英語型：英作日本語型：作外国語型：作（学習言語による）来校型　英語型：英・作（日・英）日本語型：英・数・国外国語型：作（日・外国語）,受のみ※ 8/19 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/7394/,2024年8月実施　高校転・編入試験要項　啓明学園高等学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
渋谷教育学園幕張中学校,"1,2年",11/17～11/25,12/11,,12/11,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/9423/,2024年12月実施　中学転・編入試験要項　渋谷教育学園幕張中学校,千葉県千葉市,043-271-1221,ホームページ・詳細はこちら,,
麗澤中学校,2年,6/10～7/5,7/13,,7/16,英・数・国,受・保別々,若干名,https://www.jolnet.com/transfer/6844/,2024年7月実施　中学転・編入試験要項　麗澤中学校,千葉県柏市,04-7173-3700,ホームページ・詳細はこちら,,
桜美林中学校,2年,6/24～7/6　※ 要事前相談,7/16,,7/16,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/6916/,2024年7月実施　中学転・編入試験要項　桜美林中学校,東京都町田市,042-797-2668,ホームページ・詳細はこちら,,
海城中学校,新2年,2/20～3/2,3/8,,3/8,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10376/,2025年3月実施　中学転・編入試験要項　海城中学校,東京都新宿区,03-3209-5880,ホームページ・詳細はこちら,,
鎌倉学園高等学校,2年,6/29～7/5,7/8,,7/8,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7262/,2024年7月実施　高校転・編入試験要項　鎌倉学園高等学校,神奈川県鎌倉市,0467-22-0994,ホームページ・詳細はこちら,,
京華女子高等学校,"1,2年",6/27～7/4　※ 要事前連絡,7/6,,7/6,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7502/,2024年7月実施　高校転・編入試験要項　京華女子高等学校,東京都文京区,03-3946-4434,ホームページ・詳細はこちら,,
城西大学付属川越高等学校,"新2,3年",～3/12,3/14,,3/28,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10297/,2025年3月実施　高校転・編入試験要項　城西大学付属川越高等学校,埼玉県川越市,049-224-5665,ホームページ・詳細はこちら,,
神戸大学附属中等教育学校,"1,2年",7/6～7/15,7/30,,7/30,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7339/,2024年7月実施　中学転・編入試験要項　神戸大学附属中等教育学校,兵庫県神戸市,078-811-0232,ホームページ・詳細はこちら,,
名古屋高等学校,1年,6/3～7/10,8/19,,8/19,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7252/,2024年8月実施　高校転・編入試験要項　名古屋高等学校,愛知県名古屋市,052-721-5271,ホームページ・詳細はこちら,,
渋谷教育学園幕張高等学校,新2年,2/10～2/18,3/7,,3/7,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/10067/,2025年3月実施　高校転・編入試験要項　渋谷教育学園幕張高等学校,千葉県千葉市,043-271-1221,ホームページ・詳細はこちら,,
広尾学園小石川高等学校,"1,2,3年",7/8～7/16,7/22,,7/23,英・数・国　※ 英・数は英語表記,受のみ（日・英）,若干名,https://www.jolnet.com/transfer/7345/,2024年7月実施　高校転・編入試験要項　広尾学園小石川高等学校,東京都文京区,03-5940-4455,ホームページ・詳細はこちら,,
札幌光星中学校,"新2,3年",2/25～3/6,3/21,,3/21,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/10240/,2025年3月実施　中学転・編入試験要項　札幌光星中学校,北海道札幌市,011-711-7161,ホームページ・詳細はこちら,,
立命館宇治高等学校,"2,3年",10/21～11/8,11/30,,12/6,IGコース：小論文（日 or 英）IBコース：数（英）・小論文（英）,受・保※ 上海・シンガポール・フランクフルト・ニューヨーク会場は11/24にオンラインにて,若干名,https://www.jolnet.com/transfer/8443/,2024年11月実施　高校転・編入試験要項　立命館宇治高等学校,京都府宇治市,0774-41-3000,ホームページ・詳細はこちら,,
穎明館中学校,"新2,3年",要事前相談,3/8,,,英・数・国,受のみ,定めず,https://www.jolnet.com/transfer/10299/,2025年3月実施　中学転・編入試験要項　穎明館中学校,東京都八王子市,042-664-6000,ホームページ・詳細はこちら,,
啓明学園中学校,"1,2,3年",7/22～8/5,OL型：8/22来校型：8/23,,8/23,OL型 　 英語型：英作日本語型：作外国語型：作（学習言語による）来校型　英語型：英・作（日・英）日本語型：英・数・国外国語型：作（日・外国語）,受のみ※ 8/19 要Zoomにてプレインタビュー（受・保）,若干名,https://www.jolnet.com/transfer/7392/,2024年8月実施　中学転・編入試験要項　啓明学園中学校,東京都昭島市,042-541-1003,ホームページ・詳細はこちら,,
弘学館高等学校,1年,6/24～7/5,7/22,,7/23,英・数・国,受・保,若干名,https://www.jolnet.com/transfer/7457/,2024年7月実施　高校転・編入試験要項　弘学館高等学校,佐賀県佐賀市,0952-98-2161,ホームページ・詳細はこちら,,
茗溪学園中学校,"1,2,3年",6/20～6/27,7/11　※ OL実施,,7/17,AC入試　A方式・B方式：英・数・国MG入試　A方式：英・作　B方式：英・数・国,受のみ＋受・保,若干名,https://www.jolnet.com/transfer/7120/,2024年7月実施　中学転・編入試験要項　茗溪学園中学校,茨城県つくば市,029-851-6611,ホームページ・詳細はこちら,,
愛知高等学校,"1,2年",～8/5,8/19,,8/19,英・数・国,受のみ,若干名,https://www.jolnet.com/transfer/7810/,2024年8月実施　高校転・編入試験要項　愛知高等学校,愛知県名古屋市,052-721-1521,ホームページ・詳細はこちら,,
