speciesCode,comName,sciName,obsDt,howMany,lat,lng,locationName,locationID,obsValid,obsReviewed,userDisplayName,subnational1Name,subnational2Name
asidrc3,Square-tailed Drongo-Cuckoo,Surniculus lugubris,2000-01-01,1,1.3395241,103.8117675,,,True,False,,,
indcuc1,Indian Cuckoo,Cuculus micropterus,2000-01-01,1,1.3395241,103.8117675,,,True,False,,,
malnig1,Malaysian Eared-Nightjar,Lyncornis temminckii,2000-01-01,1,1.3416843,103.8324308,,,True,True,,,
grsplo,Greater Sand-Plover,Anarhynchus leschenaultii,2000-01-01,6,1.3130758,103.9981699,,,True,True,,,
kenplo1,Kentish Plover,Anarhynchus alexandrinus,2000-01-01,3,1.3130758,103.9981699,,,True,True,,,
bktgod,Black-tailed Godwit,Limosa limosa,2000-01-01,1,1.3130758,103.9981699,,,True,True,,,
grekno,Great Knot,Calidris tenuirostris,2000-01-01,1,1.3130758,103.9981699,,,True,True,,,
ruff,Ruff,Calidris pugnax,2000-01-01,1,1.3130758,103.9981699,,,True,True,,,
pecsan,Pectoral Sandpiper,Calidris melanotos,2000-01-01,1,1.291471,103.852431,,,True,True,,,
gyhfie1,Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,2000-01-01,1,1.3416843,103.8324308,,,True,False,,,
crbdro1,Crow-billed Drongo,Dicrurus annectens,2000-01-01,1,1.3395241,103.8117675,,,True,False,,,
eacwar1,Eastern Crowned Warbler,Phylloscopus coronatus,2000-01-01,1,1.3395241,103.8117675,,,True,False,,,
eaywag,Eastern Yellow Wagtail,Motacilla tschutschensis,2000-01-01,100,1.3130758,103.9981699,,,True,True,,,
pecsan,Pectoral Sandpiper,Calidris melanotos,2000-01-02,1,1.3130758,103.9981699,,,True,True,,,
litgre1,Little Grebe,Tachybaptus ruficollis,2000-01-02,3,1.3957264,103.9257288,,,True,True,,,
easmah1,Eastern Marsh Harrier,Circus spilonotus,2000-01-02,1,1.3130758,103.9981699,,,True,True,,,
pagwar1,Pallas's Grasshopper Warbler,Helopsaltes certhiola,2000-01-02,,1.2817292,103.8768321,,,True,False,,,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,2000-01-02,1,1.2817292,103.8768321,,,True,False,,,
rudtur,Ruddy Turnstone,Arenaria interpres,2000-01-03,2,1.3130758,103.9981699,,,True,True,,,
pecsan,Pectoral Sandpiper,Calidris melanotos,2000-01-03,1,1.3130758,103.9981699,,,True,True,,,
litgre1,Little Grebe,Tachybaptus ruficollis,2000-01-03,1,1.3957264,103.9257288,,,True,False,,,
perfal,Peregrine Falcon,Falco peregrinus,2000-01-03,1,1.3130758,103.9981699,,,True,False,,,
forwag1,Forest Wagtail,Dendronanthus indicus,2000-01-07,2,1.3771383,103.8279751,,,True,True,,,
rewlap1,Red-wattled Lapwing,Vanellus indicus,2000-01-08,2,1.2678455,103.6300717,,,True,False,,,
lessap1,Tibetan Sand-Plover,Anarhynchus atrifrons,2000-01-08,420,1.423116,103.8629908,,,True,True,,,
eurcur,Eurasian Curlew,Numenius arquata,2000-01-08,1,1.3130758,103.9981699,,,True,True,,,
comsan,Common Sandpiper,Actitis hypoleucos,2000-01-08,54,1.423116,103.8629908,,,True,True,,,
sander,Sanderling,Calidris alba,2000-01-08,12,1.3130758,103.9981699,,,True,True,,,
briter1,Bridled Tern,Onychoprion anaethetus,2000-01-08,2,1.2678455,103.6300717,,,True,True,,,
whwter,White-winged Tern,Chlidonias leucopterus,2000-01-08,7,1.423116,103.8629908,,,True,True,,,
lecter2,Lesser Crested Tern,Thalasseus bengalensis,2000-01-08,5,1.423116,103.8629908,,,True,True,,,
grcter1,Great Crested Tern,Thalasseus bergii,2000-01-08,19,1.423116,103.8629908,,,True,True,,,
